Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,Target,Actual,Churn_Probability,Prediction,Recommendation
2995-YWTCD,Female,20,Yes,1,Browns Valley,95918,39.292334,-121.320597,1,19,,Yes,31.58,Yes,No,,,,,,,,,,,Two Year,Yes,Bank Withdrawal,24.9,467.7,0.0,0,600.02,1067.72,Stayed,,,0,0,0.050446342895744595,0,No Action Needed
1927-QEWMY,Female,51,Yes,0,Arcadia,91007,34.128284,-118.047732,6,72,Offer A,Yes,43.91,No,No,,,,,,,,,,,Two Year,No,Credit Card,20.5,1502.25,0.0,0,3161.52,4663.77,Stayed,,,0,0,0.00338782651014318,0,No Action Needed
1027-LKKQQ,Female,35,Yes,3,Plymouth,95669,38.489273,-120.891614,3,72,,Yes,12.96,No,Yes,DSL,56.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,80.45,5886.85,0.0,0,933.12,6819.97,Stayed,,,0,0,0.0022001035168689367,0,No Action Needed
4763-PGDPO,Female,19,No,0,Sacramento,95831,38.494832,-121.529447,0,4,,Yes,41.12,No,Yes,Fiber Optic,42.0,No,No,No,No,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,70.4,281.0,0.0,70,164.48,515.48,Churned,Competitor,Competitor had better devices,1,1,0.6075596115625007,1,Provide Premium Tech Support
7531-GQHME,Male,34,No,0,San Jacinto,92582,33.806708,-117.02007,0,12,Offer D,Yes,38.96,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.05,265.45,0.0,0,467.52,732.97,Stayed,,,0,0,0.05522468594277954,0,No Action Needed
0743-HNPFG,Female,50,Yes,0,Butte City,95920,39.449794,-121.936372,2,51,,Yes,17.95,No,Yes,DSL,14.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,69.75,3562.5,0.0,0,915.45,4477.95,Stayed,,,0,0,0.0637182699806185,0,No Action Needed
8717-VCTXJ,Male,32,No,0,Santa Cruz,95065,37.031404,-121.981865,0,42,,Yes,48.41,No,No,,,,,,,,,,,One Year,Yes,Credit Card,19.55,839.4,12.16,0,2033.22,2860.46,Stayed,,,0,0,0.013484815483119021,0,No Action Needed
3082-VQXNH,Male,62,Yes,0,Hat Creek,96040,40.789799,-121.474529,1,3,Offer E,No,,,Yes,DSL,4.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,29.8,94.4,0.0,0,0.0,94.4,Joined,,,0,0,0.6402926269958786,1,Provide Premium Tech Support
9281-CEDRU,Female,23,Yes,0,Salton City,92275,33.28156,-115.955541,2,68,,Yes,8.62,No,Yes,DSL,53.0,No,Yes,No,Yes,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,64.1,4326.25,19.12,0,586.16,4893.29,Stayed,,,0,0,0.04008803752988286,0,No Action Needed
7629-WFGLW,Female,80,Yes,0,Palo Alto,94301,37.444314,-122.149996,10,56,Offer B,Yes,11.55,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,95.65,5471.75,21.71,0,646.8,6096.84,Stayed,,,0,0,0.08050392477295955,0,No Action Needed
9172-ANCRX,Female,35,No,0,Carson,90745,33.822295,-118.26411,0,10,Offer D,Yes,37.36,Yes,Yes,Fiber Optic,28.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.7,973.25,0.0,0,373.6,1346.85,Churned,Attitude,Attitude of support person,1,1,0.6845963476920792,1,Provide Premium Tech Support
1852-QSWCD,Male,62,Yes,1,Palo Verde,92266,33.3249,-114.758334,1,64,,Yes,35.25,Yes,No,,,,,,,,,,,Two Year,Yes,Credit Card,24.8,1514.85,0.0,0,2256.0,3770.85,Stayed,,,0,0,0.016938754603614412,0,No Action Needed
2360-RDGRO,Male,48,Yes,0,Sutter,95982,39.172777,-121.805845,4,65,,Yes,41.2,Yes,Yes,Fiber Optic,10.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.25,6812.95,0.0,0,2678.0,9490.95,Stayed,,,0,0,0.14703994027266162,0,No Action Needed
7219-TLZHO,Female,27,Yes,1,Montebello,90640,34.015217,-118.109962,1,4,,Yes,39.89,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.85,62.9,0.0,0,159.56,222.46,Stayed,,,0,0,0.1295119901118988,0,No Action Needed
7663-YJHSN,Female,33,Yes,0,Moss Landing,95039,36.863303,-121.781632,10,72,Offer A,Yes,44.27,Yes,Yes,Fiber Optic,8.0,Yes,Yes,Yes,Yes,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,103.95,7556.9,0.0,70,3187.44,10814.34,Stayed,,,0,0,0.03317459703666612,0,No Action Needed
5701-YVSVF,Female,68,Yes,0,Fallbrook,92028,33.362575,-117.299644,9,11,Offer D,Yes,29.15,No,Yes,Fiber Optic,2.0,No,No,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,82.9,880.05,0.0,0,320.65,1200.7,Stayed,,,0,0,0.2804591446640564,0,No Action Needed
0952-KMEEH,Male,46,No,0,Mountain View,94043,37.419725,-122.062947,0,13,,Yes,3.36,Yes,Yes,Fiber Optic,15.0,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Mailed Check,98.15,1230.25,0.0,40,43.68,1313.93,Churned,Price,Long distance charges,1,1,0.6219789362946649,1,Provide Premium Tech Support
8519-QJGJD,Female,42,No,0,Twain,95984,40.022184,-121.062384,0,14,Offer D,Yes,18.74,No,Yes,Cable,20.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.35,1025.95,0.0,0,262.36,1288.31,Churned,Attitude,Attitude of service provider,1,1,0.4225323320788013,0,Offer Loyalty Reward
8617-ENBDS,Male,29,No,0,Helendale,92342,34.757783,-117.33997,0,3,,Yes,27.34,No,Yes,Fiber Optic,71.0,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,73.6,232.5,0.0,10,82.02,324.52,Joined,,,0,0,0.5786819600095935,1,Offer Loyalty Reward
7619-ODSGN,Male,63,Yes,2,Foothill Ranch,92610,33.698728,-117.67768,1,24,Offer C,Yes,17.27,Yes,Yes,DSL,18.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,54.75,1338.15,0.0,0,414.48,1752.63,Churned,Attitude,Attitude of support person,1,1,0.1523244427633013,0,No Action Needed
2683-JXWQQ,Male,24,Yes,1,Visalia,93291,36.391777,-119.372842,3,61,,No,,,Yes,DSL,76.0,Yes,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,33.6,2117.2,0.0,110,0.0,2227.2,Stayed,,,0,0,0.11184829441710976,0,No Action Needed
9917-KWRBE,Female,28,Yes,0,Anaheim,92808,33.850452,-117.726668,8,41,Offer B,Yes,18.84,Yes,Yes,Cable,26.0,Yes,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,78.35,3211.2,0.0,0,772.44,3983.64,Stayed,,,0,0,0.053187465548878085,0,No Action Needed
6203-HBZPA,Male,57,No,0,Forestville,95436,38.499302,-122.92444,0,52,,No,,,Yes,DSL,18.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,63.9,3334.95,0.0,0,0.0,3334.95,Stayed,,,0,0,0.037678315924442055,0,No Action Needed
5133-VRSAB,Male,47,No,0,Olema,94950,38.052209,-122.775567,0,8,Offer E,No,,,Yes,Cable,8.0,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,29.35,216.45,0.0,10,0.0,226.45,Stayed,,,0,0,0.4101892323474886,0,Offer Loyalty Reward
0495-ZBNGW,Male,78,Yes,0,Loma Mar,94021,37.266388,-122.26308,1,5,,Yes,6.66,Yes,Yes,Fiber Optic,14.0,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,-1.0,343.95,0.0,20,33.3,397.25,Churned,Competitor,Competitor offered more data,1,1,0.6505913500895046,1,Provide Premium Tech Support
5197-LQXXH,Female,56,Yes,0,Taylorsville,95983,40.053684,-120.743116,9,71,,Yes,13.41,Yes,Yes,DSL,18.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,83.3,5894.5,37.44,0,952.11,6809.17,Stayed,,,0,0,0.003483382666032942,0,No Action Needed
1273-MTETI,Female,69,No,0,Rancho Cucamonga,91737,34.245289,-117.642503,0,4,,Yes,12.86,Yes,Yes,Fiber Optic,4.0,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.85,372.45,0.0,0,51.44,423.89,Churned,Other,Don't know,1,1,0.794537248609,1,Provide Premium Tech Support
5306-BVTKJ,Male,20,Yes,1,El Cajon,92020,32.79697,-116.969082,1,48,Offer B,Yes,38.3,No,Yes,DSL,85.0,No,Yes,Yes,No,No,No,Yes,Yes,One Year,Yes,Credit Card,55.8,2651.2,0.0,0,1838.4,4489.6,Stayed,,,0,0,0.16895254308735988,0,No Action Needed
9360-AHGNL,Female,74,Yes,0,Concord,94519,37.990118,-122.012188,7,43,Offer B,Yes,8.75,Yes,Yes,Fiber Optic,13.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Credit Card,109.55,4830.25,0.0,0,376.25,5206.5,Churned,Dissatisfaction,Limited range of services,1,1,0.1023716916557371,0,No Action Needed
3426-NIYYL,Male,47,No,0,Sausalito,94965,37.848641,-122.515692,0,15,Offer D,Yes,3.15,Yes,Yes,DSL,26.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,51.55,765.5,0.0,20,47.25,832.75,Churned,Attitude,Attitude of support person,1,1,0.3869977949917901,0,No Action Needed
6917-IAYHD,Male,44,No,1,La Honda,94020,37.285677,-122.224165,0,1,Offer E,No,,,Yes,Cable,19.0,No,Yes,No,Yes,No,No,No,No,Month-to-Month,No,Credit Card,33.6,33.6,0.0,50,0.0,83.6,Joined,,,0,0,0.3825023820807181,0,No Action Needed
3638-DIMPH,Female,34,Yes,0,Wilseyville,95257,38.392686,-120.415951,1,13,,Yes,29.49,No,Yes,DSL,2.0,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,43.8,592.65,0.0,0,383.37,976.02,Stayed,,,0,0,0.3205690562386188,0,No Action Needed
7672-VFMXZ,Male,31,Yes,0,Long Beach,90815,33.797638,-118.11662,6,57,,Yes,15.48,No,Yes,Cable,15.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,55.7,3171.6,34.59,0,882.36,4019.37,Stayed,,,0,0,0.0542749318520878,0,No Action Needed
2239-CGBUZ,Female,56,Yes,0,West Covina,91791,34.061634,-117.893169,4,51,Offer B,Yes,47.18,No,Yes,Cable,12.0,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,60.5,3145.15,0.0,0,2406.18,5551.33,Stayed,,,0,0,0.06811885278944381,0,No Action Needed
5312-IRCFR,Female,21,Yes,3,Nice,95464,39.12334,-122.838198,8,64,,Yes,37.47,Yes,Yes,Fiber Optic,69.0,No,Yes,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,92.85,5980.75,0.0,0,2398.08,8378.83,Stayed,,,0,0,0.014262891462340787,0,No Action Needed
1196-AMORA,Male,63,No,0,Big Creek,93605,37.17277,-119.2997,0,7,,Yes,38.07,Yes,Yes,Fiber Optic,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,73.6,520.0,0.0,0,266.49,786.49,Churned,Competitor,Competitor offered more data,1,1,0.5606330068480279,1,Offer Loyalty Reward
5074-FBGHB,Male,47,No,0,Freedom,95019,36.936228,-121.785559,0,64,,Yes,25.95,Yes,Yes,Fiber Optic,23.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,104.65,6889.8,0.0,0,1660.8,8550.6,Stayed,,,0,0,0.33249916098953447,0,No Action Needed
8707-RMEZH,Female,67,Yes,0,Tecate,91980,32.587557,-116.636816,6,69,,Yes,34.55,No,Yes,Fiber Optic,19.0,Yes,Yes,No,No,No,Yes,No,Yes,One Year,No,Credit Card,87.3,6055.55,0.0,0,2383.95,8439.5,Stayed,,,0,0,0.08730285482745342,0,No Action Needed
4770-QAZXN,Female,42,No,0,Tomales,94971,38.240769,-122.901041,0,13,Offer D,Yes,46.3,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.45,232.1,0.0,0,601.9,834.0,Stayed,,,0,0,0.0706082114422125,0,No Action Needed
0691-IFBQW,Female,65,No,0,Biola,93606,36.798882,-120.019511,0,46,,Yes,2.37,Yes,Yes,Fiber Optic,20.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,4983.82,Churned,Competitor,Competitor made better offer,1,1,0.27257931246004524,0,No Action Needed
1534-OULXE,Female,34,Yes,2,Atherton,94027,37.454924,-122.203168,2,61,Offer B,Yes,42.85,No,Yes,DSL,11.0,Yes,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,49.7,2961.4,0.0,0,2613.85,5575.25,Stayed,,,0,0,0.04834944801194558,0,No Action Needed
3138-BKYAV,Male,61,No,0,Kerman,93630,36.727418,-120.123526,0,6,,Yes,11.97,No,Yes,Fiber Optic,27.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,489.45,0.0,0,71.82,561.27,Churned,Attitude,Attitude of service provider,1,1,0.6874395266536584,1,Provide Premium Tech Support
8739-QOTTN,Female,35,Yes,0,Avalon,90704,33.391181,-118.421305,3,2,Offer E,Yes,5.42,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.35,41.85,0.0,0,10.84,52.69,Joined,,,0,0,0.12714180137786127,0,No Action Needed
5780-INQIK,Female,52,No,0,San Mateo,94401,37.590421,-122.306467,0,8,,Yes,20.9,No,Yes,DSL,6.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.4,408.25,0.0,0,167.2,575.45,Stayed,,,0,0,0.33824410183281883,0,No Action Needed
3258-ZKPAI,Male,26,Yes,1,Sacramento,95815,38.608405,-121.449942,7,72,,Yes,21.29,Yes,Yes,Fiber Optic,52.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.6,8337.45,26.7,0,1532.88,9843.63,Stayed,,,0,0,0.007107745813228155,0,No Action Needed
8808-ELEHO,Male,66,No,0,Modesto,95356,37.716186,-121.025836,0,8,,Yes,5.02,Yes,Yes,Fiber Optic,26.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.25,585.95,0.0,0,40.16,626.11,Churned,Price,Price too high,1,1,0.7386495042669782,1,Provide Premium Tech Support
8461-EFQYM,Female,36,No,0,San Jose,95119,37.233226,-121.78809,0,38,,Yes,46.18,Yes,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,24.25,914.4,35.61,0,1754.84,2633.63,Stayed,,,0,0,0.019334291400023948,0,No Action Needed
7976-CICYS,Male,49,No,0,Woodland Hills,91367,34.178068,-118.615714,0,4,,Yes,27.04,No,No,,,,,,,,,,,Month-to-Month,Yes,Credit Card,20.7,83.75,0.0,0,108.16,191.91,Stayed,,,0,0,0.046068223815688654,0,No Action Needed
7964-ZRKKG,Male,44,Yes,0,Van Nuys,91411,34.17847,-118.459472,1,67,,Yes,37.6,Yes,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,88.4,5798.3,0.0,0,2519.2,8317.5,Stayed,,,0,0,0.3641681305416594,0,No Action Needed
3566-HJGPK,Male,50,No,0,Woodland Hills,91367,34.178068,-118.615714,0,1,Offer E,Yes,16.34,No,Yes,DSL,4.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,45.55,45.55,0.0,0,16.34,61.89,Joined,,,0,0,0.6685268417269179,1,Provide Premium Tech Support
6997-UVGOX,Male,35,Yes,3,Albany,94706,37.890274,-122.295192,9,71,Offer A,Yes,22.83,No,Yes,DSL,53.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,85.45,6029.9,0.0,0,1620.93,7650.83,Stayed,,,0,0,0.0005411477461679584,0,No Action Needed
6927-WTFIV,Male,78,No,0,Redwood City,94061,37.461251,-122.235414,0,20,Offer D,Yes,5.71,No,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,71.3,1389.2,0.0,0,114.2,1503.4,Churned,Attitude,Attitude of service provider,1,1,0.4906663139238354,0,Offer Loyalty Reward
1325-USMEC,Male,58,Yes,0,Pearblossom,93553,34.445239,-117.894868,10,70,Offer A,Yes,48.0,Yes,Yes,Fiber Optic,13.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,99.35,6944.5,0.0,0,3360.0,10304.5,Stayed,,,0,0,0.04762549317359709,0,No Action Needed
0219-QAERP,Male,33,Yes,0,Oxnard,93033,34.156629,-119.117218,2,30,,Yes,9.81,No,No,,,,,,,,,,,One Year,No,Credit Card,19.8,576.65,0.0,0,294.3,870.95,Stayed,,,0,0,0.009045031865076741,0,No Action Needed
4640-UHDOS,Female,60,Yes,0,Phelan,92371,34.441123,-117.537886,3,13,Offer D,Yes,19.05,No,Yes,DSL,27.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,55.95,734.35,0.0,0,247.65,982.0,Churned,Competitor,Competitor had better devices,1,1,0.22787418358400835,0,No Action Needed
4607-CHPCA,Male,63,Yes,0,San Martin,95046,37.084697,-121.606417,1,25,,Yes,35.27,No,Yes,Fiber Optic,4.0,No,No,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,90.4,2178.6,0.0,140,881.75,3200.35,Churned,Competitor,Competitor made better offer,1,1,0.4502938534314409,0,Offer Loyalty Reward
9947-OTFQU,Male,65,No,0,Covina,91722,34.097345,-117.906736,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.95,Churned,Competitor,Competitor had better devices,1,1,0.5513147087667708,1,Offer Loyalty Reward
4390-KYULV,Male,41,Yes,0,Piru,93040,34.432843,-118.730106,1,3,Offer E,Yes,37.61,No,No,,,,,,,,,,,Month-to-Month,Yes,Credit Card,20.55,51.15,0.0,0,112.83,163.98,Churned,Attitude,Attitude of support person,1,1,0.13827487599610705,0,No Action Needed
8290-YWKHZ,Female,69,Yes,0,Fallbrook,92028,33.362575,-117.299644,1,32,,Yes,33.74,Yes,Yes,Fiber Optic,6.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.2,2931.0,17.88,0,1079.68,3992.8,Churned,Competitor,Competitor made better offer,1,1,0.7169746612069992,1,Provide Premium Tech Support
7240-FQLHE,Female,68,Yes,0,San Diego,92114,32.707892,-117.05512,1,18,,Yes,25.27,Yes,Yes,Fiber Optic,15.0,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,99.75,1836.25,0.0,0,454.86,2291.11,Churned,Attitude,Attitude of support person,1,1,0.651809281035413,1,Provide Premium Tech Support
6778-YSNIH,Female,63,No,0,Riverside,92501,33.994676,-117.372498,0,2,,Yes,27.02,No,Yes,Cable,26.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.0,114.15,0.0,0,54.04,168.19,Joined,,,0,0,0.6280376501775794,1,Provide Premium Tech Support
6362-QHAFM,Male,53,Yes,0,Sacramento,95825,38.590035,-121.412455,1,42,,Yes,42.45,Yes,Yes,Fiber Optic,11.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,108.3,4586.15,0.0,0,1782.9,6369.05,Stayed,,,0,0,0.486051673708981,0,Offer Loyalty Reward
0404-SWRVG,Male,21,No,2,La Habra,90631,33.940619,-117.9513,0,3,Offer E,Yes,14.6,Yes,Yes,Fiber Optic,71.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,229.55,8.74,0,43.8,264.61,Churned,Dissatisfaction,Product dissatisfaction,1,1,0.6264156449726513,1,Provide Premium Tech Support
5913-INRQV,Male,71,Yes,0,Upland,91786,34.105493,-117.660934,7,34,,Yes,26.49,No,Yes,Fiber Optic,18.0,Yes,No,No,Yes,Yes,No,No,Yes,One Year,No,Credit Card,90.15,3128.8,0.0,0,900.66,4029.46,Stayed,,,0,0,0.1197167091350828,0,No Action Needed
5298-GSTLM,Female,74,No,0,Sacramento,95817,38.550722,-121.457314,0,60,Offer B,Yes,48.92,Yes,Yes,Fiber Optic,11.0,Yes,No,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,101.4,6176.6,0.0,0,2935.2,9111.8,Stayed,,,0,0,0.4128702544023542,0,Offer Loyalty Reward
2516-XSJKX,Female,20,Yes,2,San Juan Bautista,95045,36.810568,-121.503022,1,41,,Yes,32.29,No,Yes,DSL,69.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,78.45,3126.45,0.0,0,1323.89,4450.34,Stayed,,,0,0,0.0687974166719219,0,No Action Needed
7401-JIXNM,Female,27,Yes,0,Arvin,93203,35.116307,-118.817644,5,54,,Yes,29.66,Yes,Yes,Cable,76.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,91.3,4965.0,0.0,0,1601.64,6566.64,Stayed,,,0,0,0.021742146805622472,0,No Action Needed
2108-YKQTY,Female,42,No,0,Santa Monica,90403,34.031529,-118.491156,0,4,,Yes,9.81,No,Yes,DSL,30.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.7,151.3,0.0,0,39.24,190.54,Churned,Other,Don't know,1,1,0.4073312868239188,0,Offer Loyalty Reward
4680-KUTAJ,Female,73,No,0,Beverly Hills,90212,34.062095,-118.401508,0,11,,Yes,2.81,Yes,Yes,DSL,3.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,55.6,580.8,15.2,0,30.91,596.51,Stayed,,,0,0,0.20467290665224097,0,No Action Needed
6480-YAGIY,Male,57,No,0,San Francisco,94117,37.770533,-122.445121,0,45,,Yes,28.72,No,Yes,Fiber Optic,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,112.2,5031.85,0.0,0,1292.4,6324.25,Stayed,,,0,0,0.21953351442157742,0,No Action Needed
4672-FOTSD,Male,54,No,0,Dorris,96023,41.949216,-122.050062,0,12,Offer D,Yes,45.8,Yes,Yes,DSL,4.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,67.25,832.3,0.0,0,549.6,1381.9,Stayed,,,0,0,0.30379322961233024,0,No Action Needed
